Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,Columna 17,Columna 18,Columna 19,Columna 20,Columna 21,Columna 22,Columna 23,Columna 24,Columna 25,Columna 26,Columna 27,Columna 28,Columna 29,Columna 30,Columna 31,Columna 32,Columna 33,Columna 34,Columna 35,Columna 36,Columna 37,Columna 38,Columna 39,Columna 40,Columna 41,Columna 42,Columna 43,Columna 44,Columna 45,Columna 46,Columna 47,Columna 48,Columna 49,Columna 50,Columna 51,Columna 52,Columna 53,Columna 54,Columna 55,Columna 56,Columna 57,Columna 58,Columna 59,Columna 60,Columna 61,Columna 62,Columna 63,Columna 64,Columna 65,Columna 66,Columna 67,Columna 68,Columna 69,Columna 70,Columna 71,Columna 72,Columna 73,Columna 74,Columna 75,Columna 76,Columna 77,Columna 78,Columna 79,Columna 80,Columna 81,Columna 82,Columna 83,Columna 84,Columna 85,Columna 86,Columna 87,Columna 88,Columna 89,Columna 90,Columna 91,Columna 92,Columna 93,Columna 94,Columna 95,Columna 96,Columna 97,Columna 98
28,277,14,18,23,6,6,13,15,36,5,11,2,0,25,931,9,22,19,13,13,13,13,9,9,9,18,21,13,16,15,9,415,1468,23,23,9,14,20,14,15,20,15,1569,10,10,16,21,12,12,18,17,17,17,9,24,-1,9,4,9,22,9,27,19,19,23,1635,9,9,9,9,9,19,15,13,13,83,19,23,15,20,23,26,19,9,9,22,22,17,17,9,9,23,23,23,16,16,16
36,294,12,6,3,19,19,17,10,26,20,15,23,23,0,966,26,23,36,30,30,30,30,26,26,26,27,38,30,32,31,26,422,1504,24,24,26,12,17,21,13,17,19,1604,18,18,17,18,22,22,16,18,18,21,26,15,-1,26,23,26,37,26,44,33,33,40,1670,26,26,26,26,26,33,32,31,31,90,33,38,32,34,40,43,27,26,26,39,39,28,28,26,26,40,40,40,33,33,33
953,694,968,962,967,940,940,967,966,973,941,942,939,939,969,0,930,944,940,934,934,934,934,930,930,930,940,943,934,937,936,930,552,542,942,942,930,945,938,937,944,938,940,643,939,939,943,965,935,935,949,943,943,942,930,963,-1,930,940,930,933,930,930,937,937,926,709,930,930,930,930,930,937,943,936,936,900,939,932,941,938,945,948,942,930,930,945,945,940,940,930,930,945,945,945,938,938,938
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
40,283,24,18,18,25,25,26,22,30,23,22,25,25,21,937,18,0,35,22,22,22,22,18,18,18,11,23,22,25,24,18,421,1474,21,21,18,18,19,14,17,19,10,1575,19,19,18,18,17,17,22,18,18,11,18,16,-1,18,26,18,36,18,33,32,32,29,1641,18,18,18,18,18,32,31,24,24,89,33,35,31,33,25,29,11,18,18,25,25,12,12,18,18,25,25,25,20,20,20
24,279,25,31,36,18,18,24,28,45,19,23,18,18,38,932,20,33,0,22,22,22,22,20,20,20,28,32,22,25,24,20,418,1470,34,34,20,26,31,25,27,31,27,1571,22,22,29,34,23,23,30,29,29,30,20,35,-1,20,18,20,14,20,20,12,12,21,1637,20,20,20,20,20,12,7,17,17,86,12,9,7,13,34,37,30,20,20,33,33,28,28,20,20,34,34,34,27,27,27
35,277,21,26,25,17,17,24,21,38,18,19,16,16,29,931,7,22,24,0,0,0,0,7,7,7,16,21,0,3,2,7,415,1468,23,23,7,22,19,13,20,19,16,1569,16,16,20,25,11,11,25,20,20,18,7,24,-1,7,17,7,25,7,25,21,21,21,1635,7,7,7,7,7,21,20,10,10,83,21,25,20,22,13,26,18,7,7,16,16,16,15,7,7,17,17,17,4,4,4
35,277,21,26,25,17,17,24,21,38,18,19,16,16,29,931,7,22,24,0,0,0,0,7,7,7,16,21,0,3,2,7,415,1468,23,23,7,22,19,13,20,19,16,1569,16,16,20,25,11,11,25,20,20,18,7,24,-1,7,17,7,25,7,25,21,21,21,1635,7,7,7,7,7,21,20,10,10,83,21,25,20,22,13,26,18,7,7,16,16,16,15,7,7,17,17,17,4,4,4
35,277,21,26,25,17,17,24,21,38,18,19,16,16,29,931,7,22,24,0,0,0,0,7,7,7,16,21,0,3,2,7,415,1468,23,23,7,22,19,13,20,19,16,1569,16,16,20,25,11,11,25,20,20,18,7,24,-1,7,17,7,25,7,25,21,21,21,1635,7,7,7,7,7,21,20,10,10,83,21,25,20,22,13,26,18,7,7,16,16,16,15,7,7,17,17,17,4,4,4
35,277,21,26,25,17,17,24,21,38,18,19,16,16,29,931,7,22,24,0,0,0,0,7,7,7,16,21,0,3,2,7,415,1468,23,23,7,22,19,13,20,19,16,1569,16,16,20,25,11,11,25,20,20,18,7,24,-1,7,17,7,25,7,25,21,21,21,1635,7,7,7,7,7,21,20,10,10,83,21,25,20,22,13,26,18,7,7,16,16,16,15,7,7,17,17,17,4,4,4
