0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
3,31,11,4,2,2,2,4,3,4,0,5,4,4,4,4,4,4,5,6,12,12,12,12,12,5,13,6,4,4,10,9,10,10,8,7,7,7,4,8,18,18,13,11,12,13,11,5,6,5,4,4,4,4,4,4,4,8,10,18,18,15,4,14,12,17,15,15,14,15,17,15,15,15,4,11,11,16,17,5,12,31,10,4,4,4,8,4,7,6,6,17,8,11,7,7,8,9,8,10,8,4,31,8,14,9,9,13,14,14,15,4,12,13,16,4,4,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,13,13,8,4,4,6,4,4,24,24,15,7,4,7,2177,6,21,13,9,4,10,12,17,9,4,4,4,4,4,4,9,9,9,9,9,9,9,9,4,4,4,9,4,2910,14,4,4,4,18,18,17,30,9,9,9,4,4,4,2910,2288,11,4,10,11,18,18,31,31,31,31,31,4,4,11,17,4,12,4,4,4,17,7,7,7,17,4,11,15,14,5,10,8,15,14,11,9,31,4,4,10,5,14,14,15,4,4,4,4,4,15,4,4,4
5,36,10,4,3,3,3,0,2,1,5,0,2,2,2,2,1,1,8,9,14,14,19,19,19,8,20,8,4,4,10,9,9,10,7,7,7,9,4,7,16,16,16,10,16,12,10,5,6,5,4,4,4,4,4,7,4,11,13,24,24,21,4,21,18,21,22,22,15,22,22,21,22,22,4,17,17,22,22,10,18,36,16,4,4,4,13,4,13,11,11,16,15,18,11,11,14,15,15,17,13,4,36,7,20,15,15,19,20,20,21,4,18,19,22,4,4,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,13,13,4,4,4,6,4,4,24,24,14,4,4,6,2178,6,18,13,8,4,16,18,23,15,4,4,4,4,4,4,15,15,15,15,15,15,15,15,4,4,4,15,4,2911,16,4,4,4,21,21,20,33,18,18,18,4,4,4,2911,2290,14,4,11,18,19,19,36,36,36,36,36,4,4,17,21,4,15,4,4,4,19,13,13,13,20,4,14,22,20,2,16,13,22,20,17,17,36,4,4,15,2,20,20,22,4,4,4,4,4,21,4,4,4
4,38,9,2,2,3,3,2,4,1,3,2,0,0,0,0,1,3,7,8,13,13,17,17,17,7,18,7,2,2,7,6,7,7,6,5,5,7,2,5,14,14,10,8,14,10,8,2,3,2,2,2,2,2,2,5,2,10,12,23,23,20,2,20,14,18,17,17,13,17,19,17,17,17,2,13,13,18,18,11,14,38,12,2,2,2,9,2,9,12,12,14,10,13,9,9,10,11,10,12,9,2,38,5,16,10,10,15,16,16,17,2,14,15,18,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,5,2,2,3,2,2,21,21,12,5,2,4,2177,3,20,11,6,2,12,14,19,11,2,2,2,2,2,2,11,11,11,11,11,11,11,11,2,2,2,11,2,2910,15,2,2,2,20,20,19,32,11,11,11,2,2,2,2910,2288,13,2,10,17,18,18,38,38,38,38,38,2,2,13,18,2,13,2,2,2,18,9,9,9,19,2,13,17,19,7,12,9,17,19,13,11,38,2,2,11,6,16,16,17,2,2,2,2,2,16,2,2,2
4,38,9,2,2,3,3,2,4,1,3,2,0,0,0,0,1,3,7,8,13,13,17,17,17,7,18,7,2,2,7,6,7,7,6,5,5,7,2,5,14,14,10,8,14,10,8,2,3,2,2,2,2,2,2,5,2,10,12,23,23,20,2,20,14,18,17,17,13,17,19,17,17,17,2,13,13,18,18,11,14,38,12,2,2,2,9,2,9,12,12,14,10,13,9,9,10,11,10,12,9,2,38,5,16,10,10,15,16,16,17,2,14,15,18,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,5,2,2,3,2,2,21,21,12,5,2,4,2177,3,20,11,6,2,12,14,19,11,2,2,2,2,2,2,11,11,11,11,11,11,11,11,2,2,2,11,2,2910,15,2,2,2,20,20,19,32,11,11,11,2,2,2,2910,2288,13,2,10,17,18,18,38,38,38,38,38,2,2,13,18,2,13,2,2,2,18,9,9,9,19,2,13,17,19,7,12,9,17,19,13,11,38,2,2,11,6,16,16,17,2,2,2,2,2,16,2,2,2
4,38,9,2,2,3,3,2,4,1,3,2,0,0,0,0,1,3,7,8,13,13,17,17,17,7,18,7,2,2,7,6,7,7,6,5,5,7,2,5,14,14,10,8,14,10,8,2,3,2,2,2,2,2,2,5,2,10,12,23,23,20,2,20,14,18,17,17,13,17,19,17,17,17,2,13,13,18,18,11,14,38,12,2,2,2,9,2,9,12,12,14,10,13,9,9,10,11,10,12,9,2,38,5,16,10,10,15,16,16,17,2,14,15,18,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,5,2,2,3,2,2,21,21,12,5,2,4,2177,3,20,11,6,2,12,14,19,11,2,2,2,2,2,2,11,11,11,11,11,11,11,11,2,2,2,11,2,2910,15,2,2,2,20,20,19,32,11,11,11,2,2,2,2910,2288,13,2,10,17,18,18,38,38,38,38,38,2,2,13,18,2,13,2,2,2,18,9,9,9,19,2,13,17,19,7,12,9,17,19,13,11,38,2,2,11,6,16,16,17,2,2,2,2,2,16,2,2,2
4,38,9,2,2,3,3,2,4,1,3,2,0,0,0,0,1,3,7,8,13,13,17,17,17,7,18,7,2,2,7,6,7,7,6,5,5,7,2,5,14,14,10,8,14,10,8,2,3,2,2,2,2,2,2,5,2,10,12,23,23,20,2,20,14,18,17,17,13,17,19,17,17,17,2,13,13,18,18,11,14,38,12,2,2,2,9,2,9,12,12,14,10,13,9,9,10,11,10,12,9,2,38,5,16,10,10,15,16,16,17,2,14,15,18,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,5,2,2,3,2,2,21,21,12,5,2,4,2177,3,20,11,6,2,12,14,19,11,2,2,2,2,2,2,11,11,11,11,11,11,11,11,2,2,2,11,2,2910,15,2,2,2,20,20,19,32,11,11,11,2,2,2,2910,2288,13,2,10,17,18,18,38,38,38,38,38,2,2,13,18,2,13,2,2,2,18,9,9,9,19,2,13,17,19,7,12,9,17,19,13,11,38,2,2,11,6,16,16,17,2,2,2,2,2,16,2,2,2
5,36,10,4,3,3,3,1,2,0,4,1,2,2,2,2,0,1,8,8,14,14,19,19,19,8,20,8,4,4,9,8,8,9,6,6,6,7,4,6,11,11,11,9,10,11,9,3,5,3,4,4,4,4,4,6,4,11,13,24,24,21,4,21,15,19,18,18,15,18,20,18,18,18,4,14,14,18,19,11,15,36,13,4,4,4,10,4,9,12,12,15,10,14,13,13,10,12,11,13,9,4,36,6,17,11,11,16,16,16,18,4,15,16,18,4,4,4,4,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,4,4,4,5,4,4,23,23,13,4,4,5,2178,5,18,12,7,4,12,15,20,12,4,4,4,4,4,4,11,11,11,11,11,11,11,11,4,4,4,11,4,2912,16,4,4,4,21,21,19,33,12,12,12,4,4,4,2912,2290,14,4,12,18,20,20,36,36,36,36,36,4,4,14,19,4,14,4,4,4,19,9,9,9,20,4,13,18,20,3,13,10,18,20,14,12,36,4,4,12,3,17,17,18,4,4,4,4,4,17,4,4,4
6,36,11,5,4,3,3,1,1,1,4,1,3,3,3,3,1,0,8,9,15,15,20,20,20,9,21,9,5,5,11,10,10,11,8,8,8,10,5,9,17,17,17,11,17,13,12,7,7,5,5,5,5,5,5,7,5,11,13,25,25,22,5,22,18,20,19,19,16,19,21,21,19,19,5,17,17,19,21,10,18,36,16,5,5,5,12,5,12,10,10,18,15,17,11,11,14,14,14,16,13,5,36,8,19,14,14,19,19,19,21,5,18,19,21,5,5,5,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,5,5,5,7,5,5,25,25,15,5,5,7,2179,7,19,14,9,5,13,15,22,15,5,5,5,5,5,5,14,14,14,14,14,14,14,14,5,5,5,14,5,2913,17,5,5,5,21,21,20,33,13,13,13,5,5,5,2913,2291,15,5,13,19,21,21,36,36,36,36,36,5,5,17,20,5,15,5,5,5,20,13,13,13,20,5,14,19,21,2,16,12,19,21,17,13,36,5,5,15,1,20,20,19,5,5,5,5,5,20,5,5,5
4,47,6,6,7,7,7,9,11,8,6,12,8,8,8,8,9,12,0,1,7,7,7,7,7,1,8,1,6,6,13,12,12,11,9,12,12,9,6,13,13,13,14,15,14,15,12,12,9,13,6,6,6,6,6,3,6,3,5,13,13,10,6,9,8,12,10,11,9,10,12,11,10,10,6,8,8,11,12,7,9,47,6,6,6,6,3,6,4,7,7,21,5,8,6,6,4,4,3,5,3,6,47,13,10,3,3,9,10,10,11,6,8,9,12,6,6,6,6,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,17,17,14,6,6,11,6,6,28,28,18,14,6,14,2172,11,30,17,14,6,5,7,12,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,5,6,2905,9,6,6,6,13,13,12,25,4,4,4,6,6,6,2905,2284,6,6,5,6,13,13,47,47,47,47,47,6,6,7,12,6,7,6,6,6,12,2,2,2,12,6,6,11,9,13,6,3,11,9,7,4,47,6,6,5,13,10,10,10,6,6,6,6,6,11,6,6,6
4,39,7,6,7,7,7,12,10,8,6,11,8,8,8,8,8,11,1,0,7,7,8,8,8,0,9,1,6,6,14,13,12,12,9,13,13,10,6,13,14,14,15,16,14,16,13,12,10,13,6,6,6,6,6,3,6,4,6,13,13,10,6,10,7,10,11,11,9,11,11,10,11,11,6,7,7,11,12,6,8,39,5,6,6,6,2,6,3,6,6,21,4,7,5,5,3,3,2,4,2,6,39,13,9,3,3,8,9,9,10,6,7,8,11,6,6,6,6,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,15,6,6,12,6,6,29,29,19,15,6,14,2173,12,30,18,14,6,4,6,13,4,6,6,6,6,6,6,4,4,4,4,4,4,4,4,6,6,6,4,6,2906,9,6,6,6,14,14,12,26,5,5,5,6,6,6,2906,2284,7,6,6,7,14,14,39,39,39,39,39,6,6,7,10,6,7,6,6,6,12,2,2,2,13,6,7,11,10,12,5,2,11,10,6,5,39,6,6,3,12,9,9,11,6,6,6,6,6,10,6,6,6
